Word,Count
b'hilarious',1886
b'episode',1883
b'score',1883
b'particularly',1880
b'moment',1877
b'cannot',1872
b'looked',1860
b'strong',1856
b'none',1854
b'simple',1847
b'cinematography',1846
b'interest',1845
b'attempt',1845
b'living',1844
b'happened',1843
b'possible',1828
b'serious',1823
b'across',1819
b'seriously',1817
b'hit',1815
b'child',1810
b'ok',1809
b'exactly',1809
b'opening',1807
b'please',1804
b'saying',1798
b'michael',1798
b'released',1797
b'alone',1793
b'hell',1793
b'age',1790
b'son',1788
b'voice',1783
b'usually',1783
b'car',1782
b'town',1781
b'shown',1776
b'taking',1774
b'god',1770
b'huge',1761
b'most',1759
b'cut',1754
b'sad',1753
b'wish',1753
b'talent',1749
b'crap',1746
b'an',1746
"b""that's""",1746
b'fight',1743
b'turned',1740
b'running',1740
b'cool',1735
b'hours',1734
b'blood',1733
b'kid',1730
b'are',1726
b'city',1724
b'today',1723
b'stories',1722
b'opinion',1721
b'middle',1720
b'ends',1719
b'ridiculous',1717
b'call',1715
b'started',1713
b'disappointed',1712
b'order',1708
b'beyond',1708
b'light',1707
b'mostly',1706
b'view',1704
b'violence',1701
b'somewhat',1701
b'level',1700
b'career',1692
b'change',1691
b'usual',1689
b'annoying',1689
b'important',1682
b'word',1682
b'non',1681
b'words',1680
b'attention',1678
b'whose',1673
b'daughter',1670
b'ones',1653
b'down',1650
"b""i'll""",1649
b'killer',1647
b'knows',1644
b'due',1643
b'knew',1642
b'single',1642
b'happy',1637
b'upon',1633
b'basically',1632
b'reality',1623
b'female',1621
b'major',1621
b'silly',1621
"b""film's""",1618
b'rating',1614
b'talking',1614
b'apparently',1611
b'girls',1608
b'number',1603
b'7',1600
b'shots',1598
"b""aren't""",1591
b'robert',1590
b'body',1584
b'cheap',1582
b'add',1580
b'english',1580
b'relationship',1580
b'finds',1575
b'moving',1572
b'strange',1566
b'near',1559
b'clearly',1555
b'giving',1552
b'8',1549
b'fast',1546
b'hero',1543
b'david',1540
b'country',1540
b'brother',1540
b'murder',1540
b'predictable',1539
b'enjoyable',1539
b'room',1538
b'problems',1538
b'four',1535
b'miss',1531
b'modern',1531
b'sets',1530
b'entertainment',1528
b'police',1527
b'bring',1525
b'gore',1524
b'easily',1524
"b""haven't""",1523
b'whether',1523
b'surprised',1520
b'similar',1517
b'james',1515
b'local',1514
b'jokes',1513
b'tells',1512
b'ten',1506
b'song',1505
b'appears',1502
b'falls',1500
b's',1496
b'supporting',1496
b'mention',1495
b'straight',1493
b'five',1485
b'clear',1482
b'filmed',1481
b'showing',1479
b'power',1477
b'working',1475
b'these',1475
b'scary',1473
b'needs',1472
b'events',1472
b'review',1470
b'sorry',1469
b'only',1468
b'ways',1468
b'soundtrack',1467
b'easy',1466
b'talk',1460
b'tried',1459
b'once',1454
b'within',1452
b'game',1451
b'certain',1446
b'among',1445
b'fall',1444
b'class',1444
b'bunch',1441
b'husband',1440
b'television',1437
b'future',1436
b'avoid',1434
b'hate',1430
b'effort',1429
b'doubt',1428
b'stay',1428
b'die',1427
b'lots',1425
b'stand',1424
b'using',1417
b'gone',1416
b'thriller',1415
b'dialog',1413
b'deal',1411
b'eye',1409
b'nearly',1408
b'buy',1408
b'kept',1407
b'sequence',1404
b'minute',1402
b'storyline',1400
b'imagine',1400
b'typical',1397
b'means',1392
b'dull',1392
b'release',1388
b'rent',1383
b'viewing',1383
b'feature',1379
b'follow',1373
b'comments',1371
b'believable',1369
b'move',1367
b'theme',1366
b'brought',1364
b'viewers',1363
b'editing',1360
b'comic',1360
b'form',1358
b'feels',1356
b'suspense',1356
b'9',1355
b'forget',1355
b'elements',1355
b'sit',1352
b'fantastic',1350
b'points',1342
b'somehow',1340
b'actual',1339
b'leads',1339
b'theater',1337
b'message',1335
b'expected',1330
b'material',1327
b'check',1327
b'named',1323
b'famous',1322
b'hear',1320
b'realistic',1318
b'okay',1315
b'subject',1314
b'its',1310
b'romantic',1306
b'unless',1306
b'whatever',1302
b'acted',1302
b'period',1301
b'greatest',1299
b'songs',1299
b'tale',1297
b'figure',1295
b'begins',1294
b'wait',1293
b'note',1293
b'20',1292
b'british',1291
b'particular',1291
b'average',1287
b'earth',1287
b'decided',1285
b'general',1283
b'premise',1282
b'otherwise',1281
b'surprise',1280
b'eventually',1276
b'weak',1275
b'open',1273
b're',1270
b'mystery',1270
b'musical',1269
b'leaves',1269
b'difficult',1269
b'atmosphere',1268
b'reviews',1268
b'possibly',1266
b'documentary',1264
b'george',1263
b'deep',1263
b'indeed',1261
b'shame',1253
b'free',1253
b'third',1252
b'learn',1250
b'sequel',1249
b'novel',1249
b'reading',1249
b'forced',1248
b'needed',1248
b'imdb',1245
b'begin',1244
b'situation',1244
b'write',1243
b'forward',1240
b'memorable',1238
b'sequences',1238
b'killing',1236
b'credits',1232
b'poorly',1229
b'team',1229
b'because',1227
b'oscar',1222
b'lame',1219
b'became',1218
b'interested',1210
b'episodes',1209
b'through',1209
b'parents',1207
b'hands',1205
b'question',1200
b'masterpiece',1199
b'richard',1199
b'superb',1198
b'result',1195
b'meets',1194
b'sister',1193
b'french',1193
b'quickly',1190
b'laughs',1189
b'box',1189
b'himself',1189
b'total',1186
b'perfectly',1186
b'sounds',1184
b'keeps',1181
b'truth',1179
b'effect',1178
b'meet',1178
b'peter',1177
b'crime',1176
b'comment',1176
b'setting',1174
b'personal',1174
b'emotional',1172
b'worked',1171
b'lady',1165
b'screenplay',1165
b'features',1165
b'realize',1164
b'plus',1163
b'previous',1163
b'earlier',1162
b'background',1162
b'space',1162
b'hot',1160
b'romance',1158
b'mess',1153
b'towards',1153
b'does',1152
b'both',1149
b'rate',1148
b'cheesy',1148
b't',1148
b'male',1146
b'brings',1144
b'incredibly',1143
b'appear',1142
b'jack',1140
b'directing',1140
b'front',1140
"b""he's""",1137
b'badly',1136
b'apart',1136
b'unique',1135
b'admit',1135
b'pay',1135
b'weird',1131
b'inside',1130
b'air',1126
b'deserves',1123
b'reasons',1120
b'e',1120
b'ask',1117
b'spent',1115
b'red',1111
b'writers',1110
b'where',1109
b'following',1108
b'various',1107
b'nature',1107
b'paul',1106
b'dramatic',1106
b'development',1106
b'fairly',1104
b'have',1104
b'older',1103
b'plenty',1102
b'telling',1102
b'leading',1100
b'recently',1100
b'portrayed',1094
b'powerful',1094
b'crazy',1093
b'rock',1093
b'society',1092
b'agree',1092
b'beauty',1092
b'wasted',1089
b'sexual',1088
b'itself',1082
b'business',1082
b'fails',1081
b'break',1081
b'present',1079
b'caught',1078
b'unlike',1078
b'york',1076
b'directors',1075
b'street',1075
b'copy',1075
b'attempts',1072
b'crew',1069
b'ended',1067
b'manages',1065
b'outside',1063
b'expecting',1062
b'meant',1061
b'talented',1059
b'missing',1059
b'girlfriend',1056
b'success',1055
b'large',1053
b'plain',1052
b'create',1052
b'list',1051
b'hardly',1051
b'joke',1049
b'america',1047
b'produced',1046
b'stage',1043
b'pace',1043
b'fi',1039
b'clever',1039
b'laughing',1038
b'sci',1035
b'era',1034
b'missed',1034
b'rich',1031
b'mark',1030
b'king',1030
b'pure',1029
b'dog',1029
b'potential',1026
b'wrote',1024
b'dumb',1022
b'hold',1021
b'ideas',1020
b'waiting',1020
b'spoilers',1018
b'created',1017
b'filled',1015
b'creepy',1015
b'odd',1015
b'considering',1014
b'cute',1014
b'mentioned',1011
b'sadly',1011
b'slightly',1010
b'cover',1008
b'tom',1008
b'familiar',1008
b'casting',1008
b'return',1007
b'fire',1006
b'flat',1002
b'boys',1002
b'30',1001
b'dream',1000
b'co',990
b'dr',990
b'compared',990
b'follows',989
b'footage',989
b'recommended',988
b'speak',987
b'value',985
b'animation',985
b'bored',985
b'neither',984
b'uses',982
b'members',980
b'twist',980
b'incredible',976
b'credit',973
b'nudity',972
b'fighting',971
b'dance',971
b'convincing',970
b'monster',970
b'public',970
b'william',969
b'sweet',969
b'trouble',967
b'escape',966
b'6',966
b'entirely',965
b'married',962
b'appreciate',962
b'state',962
b'secret',960
b'moves',960
b'common',958
b'office',956
b'died',956
b'choice',955
b'decides',954
b'intelligent',952
b'popular',951
b'language',951
b'amount',951
b'century',951
b'biggest',948
b'battle',946
b'sees',945
b'fit',945
b'visual',944
b'portrayal',944
b'store',942
b'spend',941
b'filmmakers',941
b'gun',941
b'cold',939
b'longer',939
b'suddenly',938
b'15',938
b'tension',938
b'baby',937
b'exciting',936
b'villain',934
b'depth',933
b'party',932
b'doctor',932
"b""'""",928
b'company',928
b'successful',927
b'water',926
b'situations',925
b'amusing',924
b'western',923
b'political',922
b'consider',922
b'concept',922
b'cop',922
b'former',921
b'ultimately',919
b'producers',916
b'younger',916
b'pathetic',914
b'honest',911
b'respect',910
b'yeah',909
b'violent',909
b'barely',906
b'recent',906
b'positive',906
b'de',905
b'decide',904
b'impossible',904
b'hair',903
b'leaving',903
b'aside',902
b'fantasy',902
b'alive',901
"b""weren't""",898
b'post',897
b'social',896
b'basic',896
b'likes',896
b'force',895
b'pointless',895
b'focus',895
b'literally',892
b'starring',889
b'meaning',889
b'pick',886
b'impressive',886
b'project',886
b'somewhere',886
b'solid',885
b'effective',881
b'fair',878
b'bizarre',877
b'control',877
b'conclusion',876
b'cause',874
b'considered',874
b'values',873
b'changed',873
b'involving',873
b'runs',872
b'glad',872
b'touch',871
b'bill',869
b'thanks',869
b'sitting',868
b'walk',868
b'garbage',866
b'immediately',864
b'added',864
b'fear',864
b'failed',864
b'showed',863
b'grade',863
b'c',862
b'trash',862
b'stick',862
b'bought',861
b'remake',859
b'honestly',859
b'kills',857
b'rated',856
b'images',856
b'bother',854
b'shoot',853
b'surprisingly',852
b'awesome',850
b'personally',850
b'chemistry',850
b'anti',849
b'mood',847
b'explain',846
b'ability',846
b'brain',843
b'sick',843
b'fake',842
b'thinks',842
b'shooting',840
b'genius',840
b'd',839
b'twists',838
b'nowhere',837
b'purpose',833
b'beautifully',833
b'likely',831
b'\xc2\x96',831
b'accent',829
b'100',826
b'questions',826
b'makers',822
b'trip',822
b'college',822
b'adventure',820
b'tough',819
b'island',819
b'law',818
b'such',818
b'catch',817
b'own',817
b'channel',816
b'ex',815
b'standard',814
b'generally',812
b'taste',811
b'science',810
b'aspect',810
b'bottom',810
b'photography',810
b'audiences',809
b'fiction',808
b'subtle',808
b'week',808
b'normal',807
b'scenery',807
b'revenge',807
b'spirit',806
b'season',806
b'appearance',806
b'lee',805
b'any',805
b'heavy',805
b'loud',802
b'adult',802
b'cinematic',802
b'presence',802
b'culture',801
b'win',800
b'pieces',800
b'studio',800
b'super',800
b'humour',798
b'gay',798
b'managed',797
b'available',796
b'singing',795
b'mad',795
b'knowing',793
b'disturbing',793
b'being',793
b'utterly',792
b'remains',790
b'brothers',789
b'sexy',789
b'nobody',788
b'thrown',788
b'tone',787
b'besides',787
b'laughable',787
b'terms',786
b'road',785
b'complex',785
b'disappointing',783
b'charming',782
b'had',781
b'edge',781
b'appeal',779
b'producer',779
b'issues',778
b'constantly',778
b'rare',777
b'dancing',777
b'won',776
b'drug',776
b'smart',776
b'those',774
b'pass',773
b'excuse',773
b'italian',773
b'touching',772
b'stands',770
b'climax',770
b'hey',770
b'hoping',769
b'master',768
b'places',768
b'costumes',767
b'painful',767
b'changes',767
b'unbelievable',766
b'speaking',764
b'lovely',763
b'date',763
b'equally',763
b'terrific',763
b'impression',762
b'suppose',762
b'blue',762
b'contains',761
b'innocent',761
b'throw',761
b'natural',761
b'puts',759
b'finish',759
b'cult',759
b'thank',758
b'wow',758
b'intended',757
b'motion',756
"b""movie's""",756
b'slowly',756
"b""'the""",754
b'pictures',754
b'minor',754
b'details',753
b'names',752
b'door',751
b'disappointment',750
b'thus',750
b'plan',749
b'walking',748
b'loves',748
b'emotions',748
b'filming',747
b'ride',746
b'key',745
b'outstanding',744
b'forever',743
b'la',743
b'u',742
b'f',742
b'developed',739
b'presented',739
b'mainly',738
b'worthy',738
b'track',738
b'acts',738
b'fully',738
b'japanese',737
b'brief',737
b'books',737
b'german',736
b'ahead',734
b'surely',734
b'aspects',734
b'lived',733
b'soul',732
b'everybody',731
b'cartoon',731
b'comedies',731
b'joe',730
b'tired',729
b'mistake',727
b'manner',727
b'drawn',727
b'west',727
b'notice',726
b'drive',726
b'expectations',725
b'stunning',724
b'journey',722
b'feelings',721
b'naked',720
b'sent',720
b'themselves',719
b'opportunity',719
b'their',718
b'exception',718
b'spoiler',717
b'fresh',717
b'award',715
b'mysterious',715
b'army',713
b'fascinating',713
b'chase',713
b'building',712
b'offer',712
b'magic',711
b'include',711
b'suggest',710
b'bed',708
b'having',707
"b""80's""",707
b'charm',706
b'van',706
b'laughed',705
b'train',702
b'themes',702
b'held',702
b'putting',702
b'emotion',701
b'faces',701
b'confused',701
b'finding',697
b'happening',696
b'band',695
b'twice',695
b'double',693
b'central',693
b'spot',693
b'boyfriend',693
b'narrative',693
b'adaptation',692
b'support',692
b'location',691
b'land',691
b'pull',690
b'historical',690
b'difference',689
b'fell',689
b'wild',688
b'impressed',687
b'image',687
b'charles',686
b'supposedly',686
b'gang',685
b'born',683
b'confusing',683
b'victim',683
b'attack',682
b'helps',682
b'south',682
b'falling',681
b'wondering',681
b'direct',681
b'seemingly',681
b'six',681
b'paid',681
b'forgotten',681
b'gem',680
b'cry',680
b'compelling',679
b'shock',679
b'content',679
b'camp',677
b'computer',676
b'mix',676
b'teen',676
b'sub',676
b'folks',676
b'ground',675
b'collection',675
b'g',675
b'million',675
b'90',674
b'flicks',674
b'lacks',674
b'adds',674
b'scott',673
b'disney',673
"b""let's""",672
b'holes',672
b'frank',670
b'same',668
b'gorgeous',668
b'pain',668
b'cat',668
b'appeared',667
b'critics',666
"b""hasn't""",665
b'government',665
b'likable',665
b'share',665
b'dies',663
b'student',663
b'silent',662
b'rented',662
b'mediocre',662
b'hurt',661
b'delivers',660
b'anymore',659
b'stuck',658
b'animated',658
b'quick',658
b'festival',657
b'reminded',654
b'answer',654
"b""shouldn't""",654
b'followed',653
b'justice',653
b'detail',652
b'ready',652
b'allowed',651
b'relationships',650
b'park',649
b'lets',648
b'beat',648
b'actresses',648
b'green',648
b'lighting',648
b'military',647
b'therefore',647
b'approach',647
b'offers',647
b'absolute',646
b'flaws',646
b'creative',646
b'becoming',645
b'led',645
b'turning',644
b'funniest',643
b'detective',643
b'attractive',642
b'lover',642
b'fashion',641
b'random',639
b'affair',639
b'dad',638
b'inspired',636
b'onto',635
b'whatsoever',635
b'standards',635
b'giant',634
b'extra',634
b'picked',633
b'merely',632
b'information',632
b'jones',632
"b""she's""",631
b'intense',630
b'thoroughly',629
b'extreme',629
b'compare',629
b'match',629
b'prison',629
b'provides',629
b'element',629
b'personality',628
b'helped',628
b'negative',627
b'bar',627
b'jim',627
b'clich\xc3\xa9',626
b'deliver',626
b'color',626
b'50',626
b'length',625
b'wearing',625
b'wise',623
b'fellow',623
b'proves',622
b'latter',622
b'imagination',621
b'were',621
b'addition',621
b'victims',621
b'club',620
b'london',620
b'continue',620
b'would',619
b'moved',619
b'ugly',619
b'industry',619
b'seconds',618
b'wooden',618
b'damn',617
b'tragic',617
b'pop',616
b'listen',616
b'thin',616
b'r',614
b'christopher',614
b'adults',613
b'dreams',613
b'soldiers',613
b'marriage',612
b'realized',612
b'nasty',611
b'cross',609
b'process',609
b'moral',609
b'ben',609
b'shocking',608
b'mary',607
b'member',606
b'o',606
b'rip',606
"b""man's""",605
b'wanting',605
b'mouth',604
b'p',603
b'professional',603
b'angry',602
b'race',602
b'describe',602
b'lose',601
b'event',601
b'ed',600
b'states',600
b'impact',599
b'carry',599
b'12',598
b'rarely',597
b'sight',597
b'provide',597
b'sam',596
b'afraid',596
b'anywhere',596
b'wall',596
b'news',595
b'redeeming',594
b'search',593
b'area',593
b'ii',593
b'sleep',592
b'pleasure',592
b'planet',591
b'agent',591
b'willing',591
b'holds',590
b'christmas',590
b'summer',590
b'watchable',590
b'plots',590
b'disaster',590
b'accident',589
b'necessary',589
b'mid',589
b'asked',589
b'intriguing',589
b'alien',589
b'thats',588
b'has',588
b'students',587
b'steve',586
b'boss',585
b'clothes',584
b'physical',584
b'trailer',583
b'suicide',583
b'loving',583
b'began',582
b'bits',582
b'myself',582
b'allow',582
b'trust',581
b'lies',581
b'build',580
b'actions',579
b'memory',579
b'deserve',578
b'jean',577
b'surprising',577
b'tragedy',576
b'childhood',576
b'count',576
b'americans',576
b'intelligence',576
b'winning',575
b'step',575
b'wonderfully',574
b'drugs',574
b'introduced',574
b'returns',574
b'zero',572
b'twenty',572
b'ghost',571
b'artistic',571
b'sat',571
b'suspect',571
b'numbers',570
b'passion',570
b'tears',570
b'dying',570
b'warning',570
b'epic',569
b'reminds',569
b'includes',569
b'comedic',567
b'energy',566
b'system',566
b'commentary',565
b'deeply',563
b'station',563
b'treat',562
b'chris',562
b'martin',562
b'teenage',562
b'superior',562
b'anybody',562
b'design',560
b'apparent',560
b'grace',560
b'loose',559
b'limited',559
b'blame',558
b'understanding',558
b'paced',557
b'bloody',557
b'nicely',556
b'opera',556
b'food',556
b'dangerous',555
b'asks',555
b'clich\xc3\xa9s',554
b'noticed',553
b'accept',553
b'j',552
b'machine',551
b'cops',551
b'slasher',551
b'favourite',550
b'independent',550
b'struggle',549
b'heads',549
b'yourself',549
b'accurate',546
b'seven',546
b'soft',546
b'ill',545
b'opposite',545
b'finished',545
b'wide',545
b'zombie',545
b'starting',545
b'unknown',544
b'met',544
b'deserved',543
b'creating',543
b'hidden',543
b'sucks',543
b'explanation',543
b'engaging',543
b'indian',543
b'hospital',542
b'nonsense',542
b'unusual',541
b'pacing',539
b'phone',539
b'calls',539
b'flying',539
b'joy',539
b'desperate',539
b'pre',539
b'unnecessary',538
b'captured',538
b'animals',538
b'brutal',538
b'porn',538
b'locations',538
b'theatre',537
b'smile',536
b'ups',536
b'learned',536
b'lacking',535
b'smith',535
b'cgi',534
b'according',534
"b""character's""",534
b'heroes',534
b'driving',533
b'normally',533
b'dirty',533
b'jane',532
b'manage',532
b'growing',532
b'board',532
b'keeping',531
b'ray',531
b'discover',530
b'hits',530
b'responsible',530
b'months',530
b'mom',530
b'remarkable',529
b'murders',528
b'originally',527
b'torture',527
b'hated',526
b'mine',526
b'your',525
"b""director's""",525
b'naturally',524
b'vhs',523
b'issue',523
b'comparison',523
b'memories',523
b'floor',522
b'kevin',522
b'constant',522
b'exist',521
b'witty',521
b'aware',520
b'saving',520
b'don',520
b'occasionally',519
b'knowledge',519
b'realism',519
"b""what's""",518
"b""hadn't""",518
b'capture',518
b'references',518
b'animal',518
b'teacher',518
b'treated',517
b'creature',517
"b""70's""",516
b'current',516
b'paris',515
b'genuine',514
b'somebody',513
b'grand',513
b'prove',513
b'bright',512
b'jr',512
b'explained',512
b'stock',512
b'efforts',512
b'fail',511
b'gotten',510
b'numerous',510
b'record',510
b'absurd',510
b'player',509
b'judge',509
b'11',508
b'ms',508
b'cuts',508
b'included',508
b'core',508
b'scientist',507
b'40',507
b'bigger',507
b'whenever',507
b'skip',507
b'survive',506
b'vision',506
b'bland',506
b'jump',506
b'leader',506
b'artist',505
b'advice',505
b'cable',505
b'dealing',505
b'field',504
b'ass',504
b'fat',504
b'hopes',504
b'mixed',504
b'magnificent',504
b'roll',503
b'billy',503
b'window',503
b'could',502
b'instance',502
b'lovers',502
b'criminal',501
b'religious',501
b'jason',501
b'scared',501
b'murdered',501
b'humorous',501
b'technical',501
b'discovered',500
b'apartment',499
b'frankly',498
b'captain',498
b'terribly',498
b'academy',497
b'gold',496
b'plane',496
b'loss',496
b'thomas',496
b'kick',496
b'results',496
b'essentially',495
b'players',495
b'mental',495
b'friendship',495
b'finest',494
b'radio',494
b'sheer',493
b'noir',493
b'ordinary',493
b'pulled',493
b'received',492
b'rubbish',492
b'edited',492
b'lord',492
b'sea',492
b'eating',491
b'featuring',491
b'price',490
b'connection',490
b'concerned',489
b'deals',489
b'lucky',489
b'13',488
b'generation',488
b'gags',488
b'favor',488
b'harry',488
b'meanwhile',487
b'bruce',487
b'behavior',487
